feature,rf_label_norm,rf_activity_norm,mi_label_norm,mi_activity_norm,combined_score
bwd_min_header_bytes,0.007583988304345316,0.021617741349222622,0.11182436024074645,0.1636289899801574,0.06385118894025116
std_header_bytes,0.030903045803511556,0.0221020661029679,0.12503874282623628,0.10859962565050335,0.06262920726729176
max_fwd_packets_delta_time,0.03245775207867107,0.0138080032792113,0.13414149924423985,0.10753890295586757,0.0622158070473862
down_up_rate,0.01900655310121842,0.004013255108811148,0.14524337672646784,0.12558295540891135,0.06107120889008471
variance_header_bytes,0.023575678134558478,0.01810510451038784,0.12629185666429493,0.11344305520064012,0.06045121716647091
mean_header_bytes_delta_len,0.025548853598497834,0.0314931124640102,0.11158121422698683,0.10470270047685659,0.06036937275952109
cov_packets_delta_time,0.004076437395549015,0.015481991504070496,0.15046192697562932,0.12155510152364431,0.060270934369740584
mode_header_bytes_delta_len,0.02962906764547751,0.02683510667729156,0.11348772403794723,0.09955480879398988,0.05954775886321814
bwd_rst_flag_counts,0.0024251639234944776,0.018332909571093656,0.10879499747890865,0.15642268675244042,0.05927095889464626
variance_packets_delta_time,0.004779712841192286,0.016316328978817955,0.1429056248338635,0.1203490881431664,0.058979755141409046
median_header_bytes_delta_len,0.012404743480436152,0.01878917571861151,0.1253550616037222,0.10456621399088434,0.05534243087863561
cov_header_bytes,0.011308322394432791,0.018795466511965505,0.12071776127336677,0.10759070767335374,0.054692830461263595
min_header_bytes_delta_len,0.01576563548502051,0.015418239164567686,0.11364822083425233,0.10226830326341772,0.05253846721441047
min_fwd_packets_delta_time,0.00457352111756705,0.010668872666957768,0.13444960488051133,0.09993502147460044,0.0514496434063798
mode_fwd_packets_delta_time,0.005538259445150147,0.00887041892342374,0.12592942997278012,0.09717439979362669,0.048943369463853525
max_header_bytes_delta_len,0.036162344929283656,0.009347703642492596,0.07429467911959009,0.06764589719914758,0.04204112983528041
fwd_rst_flag_percentage_in_fwd_packets,0.034518994331042635,0.04052065749223655,0.03494189064661274,0.059801849826499894,0.04146064364160628
packet_IAT_std,0.0024329037199777434,0.015583937770368374,0.08607416119081249,0.08260663961614034,0.0391412126084944
fwd_rst_flag_percentage_in_total,0.03339863393994119,0.03430187056961846,0.03284721099705459,0.058304816809318157,0.038540556914142446
fwd_rst_flag_counts,0.027985891672802944,0.03893014617487721,0.02091372057293544,0.045820411315821485,0.033421637732055434
std_packets_delta_len,0.003051794129380183,0.0021192303072410865,0.0855066013385732,0.06998725624461113,0.03265007884762325
variance_packets_delta_len,0.00219135232169887,0.0024012717907466873,0.08469443556465882,0.07061746540037277,0.03244016742673998
fwd_packets_IAT_std,0.0029013504509619687,0.007730709035979719,0.07191257000831933,0.06103665470560493,0.02977946278886736
variance_fwd_packets_delta_time,0.0012791115254890653,0.007069345069048134,0.07112573574884215,0.05938686317357448,0.028607056762844488
std_fwd_packets_delta_time,0.0011575783634184334,0.005350281795679761,0.06840047505805018,0.061014069927938785,0.02783526704492725
fwd_packets_IAT_cov,0.0015372721733747383,0.006411157968163828,0.06728467481631055,0.058979592087529835,0.027637382423229648
cov_packets_delta_len,0.001101313867608848,0.0021277140971801257,0.0751674287790586,0.05639908062019861,0.027282010269288136
cov_fwd_packets_delta_time,0.0013670548099290827,0.005887646689693976,0.06815934974132185,0.05631583389385472,0.027071447176922232
bwd_syn_flag_percentage_in_bwd_packets,0.017658538285238445,0.0033548085421826745,0.03880919780579805,0.03718608395295376,0.0215030603999767
bwd_syn_flag_percentage_in_total,0.0006522007912860984,0.008333863355473871,0.047232198598012316,0.041915557065313136,0.02052537037669308
variance_header_bytes_delta_len,0.0005247284500469184,0.001642822811281328,0.050387184113712555,0.045111002972715725,0.01974990279568413
skewness_header_bytes,0.0003635476115590767,0.0022006021236873254,0.04954462436929212,0.04107636440091947,0.018893442674616238
std_header_bytes_delta_len,0.0011417853584914195,0.001521574034687051,0.04700679920336189,0.04160653863019196,0.018521675384664312
bwd_syn_flag_counts,0.0005269636856525772,0.0030142613842066134,0.04134024170066317,0.039254132426235634,0.01718124234633752
cov_header_bytes_delta_len,0.00025256933342962474,0.0011617967886541746,0.0421209877092274,0.03731790894124966,0.016312089166720552
bwd_std_header_bytes,0.0006755255917761856,0.0007837608957253749,0.03588532178981874,0.03707339750647744,0.015029529805509706
bwd_variance_header_bytes,0.0003959084646614798,0.0006641745576145544,0.03411974232898231,0.0350250871158545,0.014146990795650172
mean_bwd_header_bytes_delta_len,9.353214814034577e-05,0.0017416458121179825,0.03358636805812585,0.03281886377223705,0.01383159975415008
bwd_cov_header_bytes,0.00033621967168172767,0.0012093703112987133,0.028819228393169114,0.02968605983256134,0.012164734640040222
median_bwd_header_bytes_delta_len,5.2243793171147964e-05,0.0009325687776476797,0.031008532684464404,0.026552957706473444,0.011807741849433218
min_bwd_header_bytes_delta_len,5.3100701869602405e-05,0.0005179328469047464,0.027243657219733583,0.030802606163999914,0.011780562741379005
mode_bwd_header_bytes_delta_len,6.79904378991208e-05,0.0007297394964570298,0.033599776779508525,0.024082129555068874,0.011775700247222326
max_bwd_header_bytes_delta_len,9.092785264276529e-06,0.0007607154256933909,0.02886215204777207,0.021835437719898865,0.010370460416821489
packets_IAT_variance,0.003803350701885038,0.008864822106925602,0.006828220370916491,0.022379634992767454,0.00964202291537998
packets_IAT_skewness,0.0014533794075976643,0.005174869728239444,0.010941275728373225,0.01788269363614953,0.007753268613655683
skewness_packets_delta_time,0.0012324313813949096,0.004249814920929613,0.010385295536755039,0.018464011578401166,0.0074145353137285985
fwd_fin_flag_percentage_in_fwd_packets,0.0008652400714463451,0.0027862473920479097,0.014609261727596797,0.0160760718767068,0.007232512959908997
fwd_packets_IAT_variance,0.002559888493180428,0.003949475665404972,0.005665284432675311,0.019096327815486577,0.006905131697207998
