feature,importance,importance_percentage,rank
median_fwd_header_bytes_delta_len,9.559971645685962e-05,0.009559971645685962,140
fwd_fin_flag_percentage_in_total,9.18584481287846e-05,0.00918584481287846,141
skewness_bwd_packets_delta_len,9.102636201167292e-05,0.009102636201167292,142
median_bwd_header_bytes_delta_len,9.017651154378152e-05,0.009017651154378152,143
max_bwd_header_bytes_delta_len,8.829748557899582e-05,0.008829748557899583,144
fin_flag_counts,8.765055347866572e-05,0.008765055347866571,145
fwd_fin_flag_percentage_in_fwd_packets,8.447148552106607e-05,0.008447148552106607,146
cov_packets_delta_len,7.931753278729589e-05,0.00793175327872959,147
std_header_bytes_delta_len,6.928346483682777e-05,0.006928346483682777,148
bwd_payload_bytes_variance,6.767234779297064e-05,0.006767234779297064,149
variance_header_bytes_delta_len,6.745610899846046e-05,0.006745610899846046,150
variance_fwd_header_bytes_delta_len,6.316329480500725e-05,0.006316329480500725,151
skewness_fwd_packets_delta_time,6.303350643653426e-05,0.006303350643653426,152
min_payload_bytes_delta_len,6.270038536005588e-05,0.006270038536005588,153
bwd_syn_flag_percentage_in_bwd_packets,6.080715222766053e-05,0.006080715222766053,154
median_fwd_packets_delta_len,5.828839618120701e-05,0.005828839618120701,155
bwd_psh_flag_percentage_in_bwd_packets,5.7003739358732315e-05,0.005700373935873231,156
payload_bytes_std,4.970997986256039e-05,0.004970997986256039,157
bwd_packets_IAT_variance,4.759638445372947e-05,0.004759638445372947,158
cov_fwd_packets_delta_len,4.6466694663942565e-05,0.0046466694663942565,159
fwd_ece_flag_percentage_in_total,4.644651164791382e-05,0.004644651164791382,160
fwd_avg_segment_size,4.5214647643375646e-05,0.004521464764337565,161
bytes_rate,4.1850861955536705e-05,0.004185086195553671,162
payload_bytes_mean,4.147982666445799e-05,0.004147982666445799,163
mean_fwd_header_bytes_delta_len,4.040078189579259e-05,0.004040078189579259,164
bwd_payload_bytes_mean,3.9973917341916443e-05,0.003997391734191644,165
bwd_payload_bytes_std,3.9956349266235374e-05,0.003995634926623537,166
bwd_bytes_rate,3.990869269656314e-05,0.003990869269656314,167
handshake_duration,3.806405277860642e-05,0.003806405277860642,168
cwr_flag_percentage_in_total,3.7238405119764366e-05,0.0037238405119764365,169
fwd_ece_flag_percentage_in_fwd_packets,3.68998304965255e-05,0.00368998304965255,170
fwd_cov_header_bytes,3.61144322216853e-05,0.0036114432221685303,171
mode_fwd_payload_bytes_delta_len,3.580928041585362e-05,0.003580928041585362,172
fwd_cwr_flag_percentage_in_total,3.556900159070666e-05,0.0035569001590706664,173
skewness_bwd_packets_delta_time,3.552461349394668e-05,0.003552461349394668,174
fwd_fin_flag_counts,3.5509523161547674e-05,0.0035509523161547673,175
subflow_bwd_packets,3.524916120555549e-05,0.003524916120555549,176
cov_bwd_payload_bytes_delta_len,3.5153188799814555e-05,0.0035153188799814557,177
bwd_fin_flag_percentage_in_bwd_packets,3.4872518311538004e-05,0.0034872518311538005,178
fwd_payload_bytes_std,3.48478008623567e-05,0.0034847800862356695,179
bwd_packets_IAT_skewness,3.456380635581267e-05,0.0034563806355812667,180
fwd_payload_bytes_mean,3.400705577343586e-05,0.003400705577343586,181
variance_fwd_packets_delta_len,3.3099225730292486e-05,0.0033099225730292485,182
payload_bytes_variance,3.2734429200996245e-05,0.0032734429200996246,183
bwd_payload_bytes_max,3.257312441341234e-05,0.003257312441341234,184
mode_fwd_header_bytes_delta_len,3.245840119856283e-05,0.0032458401198562827,185
mean_bwd_payload_bytes_delta_len,3.1365785592414304e-05,0.00313657855924143,186
bwd_fin_flag_percentage_in_total,3.0892607754166954e-05,0.003089260775416695,187
skewness_header_bytes_delta_len,2.9985015975102932e-05,0.002998501597510293,188
total_payload_bytes,2.9817148899778466e-05,0.0029817148899778465,189
bwd_fin_flag_counts,2.944305821587702e-05,0.002944305821587702,190
cov_payload_bytes_delta_len,2.8632081347136932e-05,0.0028632081347136932,191
ece_flag_percentage_in_total,2.8504511205463794e-05,0.0028504511205463792,192
payload_bytes_skewness,2.8150978765735872e-05,0.002815097876573587,193
cwr_flag_counts,2.792504831265888e-05,0.002792504831265888,194
payload_bytes_median,2.7432430222760904e-05,0.0027432430222760905,195
fwd_payload_bytes_max,2.655586594805769e-05,0.002655586594805769,196
